127.0.0.1 - - [04/Aug/2021:22:08:37 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:08:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:08:59 -0300] "GET /ProjetoTrilhaWeb/pages/admin/brand/ HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:08:59 -0300] "GET /ProjetoTrilhaWeb/js/brand.js HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:09:02 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:09:02 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:09:02 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:07 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:07 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:07 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:07 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:08 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:10 -0300] "GET /ProjetoTrilhaWeb/pages/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:10 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:10 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:10 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:10 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:10 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:11 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:13 -0300] "GET /ProjetoTrilhaWeb/pages/admin/brand/ HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:13 -0300] "GET /ProjetoTrilhaWeb/js/brand.js HTTP/1.1" 200 5331
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:13 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorNome?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:13 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:10:13 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
